Lp;Nazwa jednostki;Regon;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Teren dzia?ania;Telefon kontaktowy;Adres email do korespondencji;Okres dzia?ania od;Okres dzia?ania do;Liczebno?? jednostki;Okres pozostawania w gotowo?ci w ci?gu roku od 1;Okres pozostawania w gotowo?ci w ci?gu roku do 1;Czas pozostawania w gotowo?ci w ci?gu doby (w godzinach) 1;Czas osi?gni?cia gotowo?ci (w minutach) 1;Liczebno?? jednostki 1;Rodzaj jednostki;Rodzaj ratownictwa
13;Ochotnicza Stra? Po?arna Osie;91579911;PL;KUJAWSKO-POMORSKIE;?wiecki;Osie;Osie;86-150;ul. Rynek;2:00 AM;;PL;KUJAWSKO-POMORSKIE;?wiecki;Osie;Osie;86-150;ul. Rynek;2:00 AM;;KUJAWSKO-POMORSKIE/?wiecki/Osie (gmina wiejska);52 332 95 91;ug@osie.pl;01.01.2017;31.12.2017;38;1 stycze?;31 grudzie?;24;maj.24;41;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze , Inne specjalistyczne (Ratownictwo Wodne)
14;Ochotnicza Stra? Po?arna Brze?no;91622660;PL;KUJAWSKO-POMORSKIE;?wiecki;Pruszcz;Brze?no;86-120;;18A;;PL;KUJAWSKO-POMORSKIE;?wiecki;Pruszcz;Brze?no;86-120;;18A;;KUJAWSKO-POMORSKIE/?wiecki/Pruszcz (gmina wiejska);525624300;pruszcz@pruszcz.pl;01.01.2017;31.12.2017;15;1 stycze?;31 grudzie?;24;maj.24;14;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
15;Ochotnicza Stra? Po?arna Pruszcz;91622535;PL;KUJAWSKO-POMORSKIE;?wiecki;Pruszcz;Pruszcz;86-120;ul. Sportowa;10;;PL;KUJAWSKO-POMORSKIE;?wiecki;Pruszcz;Pruszcz;86-120;ul. Sportowa;10;;KUJAWSKO-POMORSKIE/?wiecki/Pruszcz (gmina wiejska);525624300;pruszcz@pruszcz.pl;01.01.2017;31.12.2017;20;1 stycze?;31 grudzie?;24;maj.24;21;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
16;Ochotnicza Stra? Po?arna Wa?dowo;91622498;PL;KUJAWSKO-POMORSKIE;?wiecki;Pruszcz;Wa?dowo;86-120;;35;;PL;KUJAWSKO-POMORSKIE;?wiecki;Pruszcz;Wa?dowo;86-120;;35;;KUJAWSKO-POMORSKIE/?wiecki/Pruszcz (gmina wiejska);525624300;pruszcz@pruszcz.pl;01.01.2017;31.12.2017;17;1 stycze?;31 grudzie?;24;maj.24;17;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
17;Ochotnicza Stra? Po?arna Przechowo;90089406;PL;KUJAWSKO-POMORSKIE;?wiecki;;?wiecie;86-105;ul. Sportowa;16;;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiecie;?wiecie;86-105;ul. Sportowa;16;;KUJAWSKO-POMORSKIE/?wiecki/?wiecie (miasto);52 333 23 10;urzad.miejski@swiecie.eu;01.01.2017;31.12.2017;31;1 stycze?;31 grudzie?;24;maj.24;35;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
18;Ochotnicza Stra? Po?arna Gruczno;91425071;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiecie;Gruczno;86-111;ul. Che?mi?ska;4;;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiecie;Gruczno;86-111;ul. Che?mi?ska;4;;KUJAWSKO-POMORSKIE/?wiecki/?wiecie (obszar wiejski);52 33 32 310;urzad.miejski@swiecie.eu;01.01.2017;31.12.2017;22;1 stycze?;31 grudzie?;24;maj.24;22;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
19;Ochotnicza Stra? Po?arna Ratownik;93188920;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiecie;?wiecie;86-100;ul. Laskowicka;2;;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiecie;?wiecie;86-100;ul. Laskowicka;2;;KUJAWSKO-POMORSKIE/?wiecki/?wiecie (miasto);52 33 32 310;urzad.miejski@swiecie.eu;01.01.2017;31.12.2017;34;1 stycze?;31 grudzie?;24;maj.24;45;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
20;Ochotnicza Stra? Po?arna ?wiekatowo;91599687;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiekatowo;?wiekatowo;86-182;ul. Koronowska;7;;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiekatowo;?wiekatowo;86-182;ul. Koronowska;7;;KUJAWSKO-POMORSKIE/?wiecki/?wiecie (miasto);52 332 20 12;ugswiekatowo@swiekatowo.lo.pl;01.01.2017;31.12.2017;28;1 stycze?;31 grudzie?;24;maj.24;25;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
21;Ochotnicza Stra? Po?arna Warlubie;91616977;PL;KUJAWSKO-POMORSKIE;?wiecki;Warlubie;Warlubie;86-160;ul. B?kowska;12;;PL;KUJAWSKO-POMORSKIE;?wiecki;Warlubie;Warlubie;86-160;ul. B?kowska;12;;KUJAWSKO-POMORSKIE/?wiecki/Warlubie (gmina wiejska);52 332 60 40;gmina@warlubie.pl;01.01.2017;31.12.2017;17;1 stycze?;31 grudzie?;24;maj.24;25;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
22;KP PSP Inowroc?aw;92363567;PL;KUJAWSKO-POMORSKIE;inowroc?awski;Inowroc?aw;Inowroc?aw;88-100;ul. Pozna?ska;133;;PL;KUJAWSKO-POMORSKIE;inowroc?awski;Inowroc?aw;Inowroc?aw;88-100;ul. Pozna?ska;133;;Wszystkie;523 575 021;psk@kppsp.inowroclaw.pl;;;;;;;;;Pa?stwowa Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze , Inne specjalistyczne 
23;Komenda Powiatowa Pa?stwowej Stra?y Po?arnej w Brodnicy;915509;PL;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;Brodnica;87-300;ul. Sienkiewicza;23;;PL;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;Brodnica;87-300;ul. Sienkiewicza;23;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;564950600;sekretariat@straz.brodnica.pl;;;56;1 stycze?;31 grudzie?;24;lut.24;56;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
24;Ochotnicza Stra? Po?arna w ?ninie;340162140;PL;KUJAWSKO-POMORSKIE;?ni?ski;?nin;?nin;88-400;ul. Spokojna;24;;PL;KUJAWSKO-POMORSKIE;?ni?ski;?nin;?nin;88-400;ul. Spokojna;24;;Wszystkie;693587300;;26.11.2013;;50;;;;;;Stowarzyszenie;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
25;OSP BRZOZIE;340246462;PL;KUJAWSKO-POMORSKIE;brodnicki;Brzozie;Brzozie;87-313;;13;;PL;KUJAWSKO-POMORSKIE;brodnicki;Brzozie;Brzozie;87-313;;13;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;564935488;kppsp_brodnica@kujawy.psp.gov.pl;;;34;1 stycze?;31 grudzie?;24;pa?.24;35;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
26;OSP GÓRZNO;871712275;PL;KUJAWSKO-POMORSKIE;brodnicki;;;87-320;ul. ?w. Floriana;16;;PL;KUJAWSKO-POMORSKIE;brodnicki;;;87-320;ul. ?w. Floriana;16;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;564919436;kppsp_brodnica@kujawy.psp.gov.pl;;;20;1 stycze?;31 grudzie?;24;pa?.24;26;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
27;OSP GR??AWY;340286792;PL;KUJAWSKO-POMORSKIE;brodnicki;Bartniczka;Gr??awy;87-321;;47a;;PL;KUJAWSKO-POMORSKIE;brodnicki;Bartniczka;Gr??awy;87-321;;47a;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;889817370;kppsp_brodnica@kujawy.psp.gov.pl;;;24;1 stycze?;31 grudzie?;24;pa?.24;22;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
28;OSP JAB?ONOWO POMORSKIE;871539894;PL;KUJAWSKO-POMORSKIE;brodnicki;Jab?onowo Pomorskie;Jab?onowo Pomorskie;87-330;ul. Nowy Rynek;5;;PL;KUJAWSKO-POMORSKIE;brodnicki;;Jab?onowo Pomorskie;87-330;ul. Nowy Rynek;5;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;566979888;kppsp_brodnica@kujawy.psp.gov.pl;;;25;1 stycze?;31 grudzie?;24;pa?.24;26;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
29;OSP NIE?YWI??;871554221;PL;KUJAWSKO-POMORSKIE;brodnicki;Bobrowo;Nie?ywi??;87-326;;43;;PL;KUJAWSKO-POMORSKIE;brodnicki;Bobrowo;Nie?ywi??;87-326;;43;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;;;;;29;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
30;OSP OSIEK;340243541;PL;KUJAWSKO-POMORSKIE;brodnicki;Osiek;Osiek;87-340;;;;PL;KUJAWSKO-POMORSKIE;brodnicki;Osiek;Osiek;87-340;;;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;;;;;17;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
31;OSP POKRZYDOWO;340538532;PL;KUJAWSKO-POMORSKIE;brodnicki;Zbiczno;Pokrzydowo;87-305;;76a;;PL;KUJAWSKO-POMORSKIE;brodnicki;Zbiczno;Pokrzydowo;87-305;;76a;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;;;;;35;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
32;OSP STRZYGI;340242837;PL;KUJAWSKO-POMORSKIE;brodnicki;Osiek;Strzygi;87-340;;3;;PL;KUJAWSKO-POMORSKIE;brodnicki;Osiek;Strzygi;87-340;;3;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;;;;;18;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo medyczne 
33;OSP ?WIEDZIEBNIA;871547965;PL;KUJAWSKO-POMORSKIE;brodnicki;?wiedziebnia;?wiedziebnia;87-335;;124;;PL;KUJAWSKO-POMORSKIE;brodnicki;?wiedziebnia;?wiedziebnia;87-335;;124;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;;;;;20;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
34;OSP ZBICZNO;340312992;PL;KUJAWSKO-POMORSKIE;brodnicki;Zbiczno;Zbiczno;87-305;;170;;PL;KUJAWSKO-POMORSKIE;brodnicki;Zbiczno;Zbiczno;87-305;;170;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;;;;;22;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
35;OSP ZGNI?OB?OTY;340242599;PL;KUJAWSKO-POMORSKIE;brodnicki;Bobrowo;Zgni?ob?oty;87-327;;58;;PL;KUJAWSKO-POMORSKIE;brodnicki;Bobrowo;Zgni?ob?oty;87-327;;58;;KUJAWSKO-POMORSKIE/brodnicki/Wszystkie;;;;;18;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
36;Pa?uckie Wodne Ochotnicze Pogotowie Ratunkowe;340577207;PL;KUJAWSKO-POMORSKIE;?ni?ski;?nin;?nin;88-400;ul. Szkolna;12;;PL;KUJAWSKO-POMORSKIE;?ni?ski;?nin;?nin;88-400;ul. Szkolna;12;;KUJAWSKO-POMORSKIE/?ni?ski/Wszystkie;725474989;paluckiewopr@wp.pl;24.03.2009;;15;;;;;;Stowarzyszenie;Ratownictwo wodne i nurkowe 
37;Ochotnicza Stra? Po?arna Kruszyn;92995920;PL;KUJAWSKO-POMORSKIE;bydgoski;Sicienko;Kruszyn;86-014;ul. Stra?acka;5;;PL;KUJAWSKO-POMORSKIE;bydgoski;Sicienko;Kruszyn;86-014;ul. Stra?acka;5;;KUJAWSKO-POMORSKIE/bydgoski/Sicienko (gmina wiejska);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;31;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
38;Wielkie Rychnowo OSP KSRG;340822836;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;;Wielkie Rychnowo;87-410;;68;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Kowalewo Pomorskie;Wielkie Rychnowo;87-410;;68;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;665732547;cachnijk@kujawy.psp.gov.pl;30.09.2005;;18;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
39;Ochotnicza Stra? Po?arna Wojnowo;92929247;PL;KUJAWSKO-POMORSKIE;bydgoski;Sicienko;Wojnowo;86-014;;26;3;PL;KUJAWSKO-POMORSKIE;bydgoski;Sicienko;Wojnowo;86-014;;26;3;KUJAWSKO-POMORSKIE/bydgoski/Sicienko (gmina wiejska);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;19;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
40;Ochotnicza Stra? Po?arna w Raci??u;92518975;PL;KUJAWSKO-POMORSKIE;tucholski;Tuchola;Raci??;89-502;ul. Kasztela?ska;1a;;PL;KUJAWSKO-POMORSKIE;tucholski;Tuchola;Raci??;89-502;ul. Kasztela?ska;1a;;Wszystkie;523361227;kppsp_tuchola@kujawy.psp.gov.pl;;;28;1 stycze?;31 grudzie?;24;pa?.24;4;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
41;Ochotnicza Stra? Po?arna w D?ugiem;340138270;PL;KUJAWSKO-POMORSKIE;rypi?ski;W?pielsk;D?ugie;87-337;;72B;;PL;KUJAWSKO-POMORSKIE;rypi?ski;W?pielsk;D?ugie;87-337;;72B;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48606185256;;01.01.2017;;23;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
42;Nowogród OSP KSRG;340247065;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Golub-Dobrzy?;Nowogród;87-400;;23;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Golub-Dobrzy?;Nowogród;87-400;;23;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;600686420;cachnijk@kujawy.psp.gov.pl;09.05.2014;31.12.2019;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
43;Ochotnicza Stra? Po?arna w W?pielsku;361746694;PL;KUJAWSKO-POMORSKIE;rypi?ski;W?pielsk;W?pielsk;87-337;;59D;;PL;KUJAWSKO-POMORSKIE;rypi?ski;W?pielsk;W?pielsk;87-337;;59D;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48606322415;;01.01.2017;;15;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
44;Wrocki OSP KSRG;340163747;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Golub-Dobrzy?;Wrocki;87-423;;25;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Golub-Dobrzy?;Wrocki;87-423;;25;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;797412057;cachnijk@kujawy.psp.gov.pl;28.03.2001;;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
45;Ochotnicza Stra? Po?arna w Radzikach Du?ych;340100735;PL;KUJAWSKO-POMORSKIE;rypi?ski;W?pielsk;Radziki Du?e;87-337;;25A;;PL;KUJAWSKO-POMORSKIE;rypi?ski;W?pielsk;Radziki Du?e;87-337;;25A;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48508535299;;01.01.2017;;18;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo medyczne 
46;Radomin OSP KSRG;871257598;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Radomin;Radomin;87-404;;34;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Radomin;Radomin;87-404;;34;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;667528616;cachnijk@kujawy.psp.gov.pl;12.07.1995;;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
47;Ochotnicza Stra? Po?arna w Gostycynie;92524415;PL;KUJAWSKO-POMORSKIE;tucholski;Gostycyn;Gostycyn;89-520;ul. G?ówna;37;;PL;KUJAWSKO-POMORSKIE;tucholski;Gostycyn;Gostycyn;89-520;ul. G?ówna;37;;Wszystkie;523362127;kppsp_tuchola@kujawy.psp.gov.pl;;;24;1 stycze?;31 grudzie?;24;pa?.24;7;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
